0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.54143775,0.86105645,0.86105645,0.86105645,0.5771799,0.86105645,0.87974894,0.86105645,0.86105645,0.86105645,0.59667903,0.9352596,0.56799394,0.8840394,0.87974894,0.9352596,0.9999999,0.5399673,0.87974894,0.87974894,0.86105645,0.86105645,0.86105645,0.86105645,0.86105645,0.87974894,0.5663236,0.57662934,0.87974894,0.87974894,0.87974894,0.86105645,0.86105645,0.86105645,0.5589905,0.94533354,0.94533354,0.94533354,0.72170156,0.86105645,0.72170156
0.9027689,0.5085181,0.5085181,0.5085181,0.8495282,0.5085181,0.47975492,0.5085181,0.5085181,0.5085181,0.93757606,0.54107124,0.97752845,0.4788191,0.47975492,0.54107124,0.5399673,1.0000001,0.47975492,0.47975492,0.5085181,0.5085181,0.5085181,0.5085181,0.5085181,0.47975492,0.90411407,0.97270715,0.47975492,0.47975492,0.47975492,0.5085181,0.5085181,0.5085181,0.955037,0.51428825,0.51428825,0.51428825,0.4572452,0.5085181,0.4572452
0.47134715,0.9271311,0.9271311,0.9271311,0.5628704,0.9271311,0.99999964,0.9271311,0.9271311,0.9271311,0.54702914,0.8887441,0.51493055,0.99371433,0.99999964,0.8887441,0.87974894,0.47975492,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.9271311,0.9271311,0.99999964,0.52372515,0.5258838,0.99999964,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.49303064,0.87607855,0.87607855,0.87607855,0.8321445,0.9271311,0.8321445
0.47134715,0.9271311,0.9271311,0.9271311,0.5628704,0.9271311,0.99999964,0.9271311,0.9271311,0.9271311,0.54702914,0.8887441,0.51493055,0.99371433,0.99999964,0.8887441,0.87974894,0.47975492,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.9271311,0.9271311,0.99999964,0.52372515,0.5258838,0.99999964,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.49303064,0.87607855,0.87607855,0.87607855,0.8321445,0.9271311,0.8321445
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.47134715,0.9271311,0.9271311,0.9271311,0.5628704,0.9271311,0.99999964,0.9271311,0.9271311,0.9271311,0.54702914,0.8887441,0.51493055,0.99371433,0.99999964,0.8887441,0.87974894,0.47975492,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.9271311,0.9271311,0.99999964,0.52372515,0.5258838,0.99999964,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.49303064,0.87607855,0.87607855,0.87607855,0.8321445,0.9271311,0.8321445
0.95694625,0.5503884,0.5503884,0.5503884,0.8065845,0.5503884,0.52372515,0.5503884,0.5503884,0.5503884,0.91539246,0.5786512,0.9197359,0.52396643,0.52372515,0.5786512,0.5663236,0.90411407,0.52372515,0.52372515,0.5503884,0.5503884,0.5503884,0.5503884,0.5503884,0.52372515,1.0,0.91770196,0.52372515,0.52372515,0.52372515,0.5503884,0.5503884,0.5503884,0.90844524,0.531306,0.531306,0.531306,0.50844926,0.5503884,0.50844926
0.9016136,0.5563804,0.5563804,0.5563804,0.8812439,0.5563804,0.5258838,0.5563804,0.5563804,0.5563804,0.97444844,0.58646816,0.9976672,0.5257132,0.5258838,0.58646816,0.57662934,0.97270715,0.5258838,0.5258838,0.5563804,0.5563804,0.5563804,0.5563804,0.5563804,0.5258838,0.91770196,0.9999999,0.5258838,0.5258838,0.5258838,0.5563804,0.5563804,0.5563804,0.9721019,0.553725,0.553725,0.553725,0.50228655,0.5563804,0.50228655
0.47134715,0.9271311,0.9271311,0.9271311,0.5628704,0.9271311,0.99999964,0.9271311,0.9271311,0.9271311,0.54702914,0.8887441,0.51493055,0.99371433,0.99999964,0.8887441,0.87974894,0.47975492,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.9271311,0.9271311,0.99999964,0.52372515,0.5258838,0.99999964,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.49303064,0.87607855,0.87607855,0.87607855,0.8321445,0.9271311,0.8321445
0.47134715,0.9271311,0.9271311,0.9271311,0.5628704,0.9271311,0.99999964,0.9271311,0.9271311,0.9271311,0.54702914,0.8887441,0.51493055,0.99371433,0.99999964,0.8887441,0.87974894,0.47975492,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.9271311,0.9271311,0.99999964,0.52372515,0.5258838,0.99999964,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.49303064,0.87607855,0.87607855,0.87607855,0.8321445,0.9271311,0.8321445
0.47134715,0.9271311,0.9271311,0.9271311,0.5628704,0.9271311,0.99999964,0.9271311,0.9271311,0.9271311,0.54702914,0.8887441,0.51493055,0.99371433,0.99999964,0.8887441,0.87974894,0.47975492,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.9271311,0.9271311,0.99999964,0.52372515,0.5258838,0.99999964,0.99999964,0.99999964,0.9271311,0.9271311,0.9271311,0.49303064,0.87607855,0.87607855,0.87607855,0.8321445,0.9271311,0.8321445
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.9007913,0.5268984,0.5268984,0.5268984,0.8421134,0.5268984,0.49303064,0.5268984,0.5268984,0.5268984,0.9458634,0.5607313,0.9720768,0.49090767,0.49303064,0.5607313,0.5589905,0.955037,0.49303064,0.49303064,0.5268984,0.5268984,0.5268984,0.5268984,0.5268984,0.49303064,0.90844524,0.9721019,0.49303064,0.49303064,0.49303064,0.5268984,0.5268984,0.5268984,1.0,0.53517675,0.53517675,0.53517675,0.47113454,0.5268984,0.47113454
0.5103735,0.86691755,0.86691755,0.86691755,0.5482405,0.86691755,0.87607855,0.86691755,0.86691755,0.86691755,0.5739361,0.90129864,0.5429932,0.87835926,0.87607855,0.90129864,0.94533354,0.51428825,0.87607855,0.87607855,0.86691755,0.86691755,0.86691755,0.86691755,0.86691755,0.87607855,0.531306,0.553725,0.87607855,0.87607855,0.87607855,0.86691755,0.86691755,0.86691755,0.53517675,0.9999999,0.9999999,0.9999999,0.72672904,0.86691755,0.72672904
0.5103735,0.86691755,0.86691755,0.86691755,0.5482405,0.86691755,0.87607855,0.86691755,0.86691755,0.86691755,0.5739361,0.90129864,0.5429932,0.87835926,0.87607855,0.90129864,0.94533354,0.51428825,0.87607855,0.87607855,0.86691755,0.86691755,0.86691755,0.86691755,0.86691755,0.87607855,0.531306,0.553725,0.87607855,0.87607855,0.87607855,0.86691755,0.86691755,0.86691755,0.53517675,0.9999999,0.9999999,0.9999999,0.72672904,0.86691755,0.72672904
0.5103735,0.86691755,0.86691755,0.86691755,0.5482405,0.86691755,0.87607855,0.86691755,0.86691755,0.86691755,0.5739361,0.90129864,0.5429932,0.87835926,0.87607855,0.90129864,0.94533354,0.51428825,0.87607855,0.87607855,0.86691755,0.86691755,0.86691755,0.86691755,0.86691755,0.87607855,0.531306,0.553725,0.87607855,0.87607855,0.87607855,0.86691755,0.86691755,0.86691755,0.53517675,0.9999999,0.9999999,0.9999999,0.72672904,0.86691755,0.72672904
0.47968328,0.83848697,0.83848697,0.83848697,0.51716864,0.83848697,0.8321445,0.83848697,0.83848697,0.83848697,0.53349805,0.7922888,0.49135584,0.8226532,0.8321445,0.7922888,0.72170156,0.4572452,0.8321445,0.8321445,0.83848697,0.83848697,0.83848697,0.83848697,0.83848697,0.8321445,0.50844926,0.50228655,0.8321445,0.8321445,0.8321445,0.83848697,0.83848697,0.83848697,0.47113454,0.72672904,0.72672904,0.72672904,1.0000002,0.83848697,1.0000002
0.5152568,0.9999999,0.9999999,0.9999999,0.5875774,0.9999999,0.9271311,0.9999999,0.9999999,0.9999999,0.5860309,0.91209126,0.54548854,0.9278481,0.9271311,0.91209126,0.86105645,0.5085181,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.9271311,0.5503884,0.5563804,0.9271311,0.9271311,0.9271311,0.9999999,0.9999999,0.9999999,0.5268984,0.86691755,0.86691755,0.86691755,0.83848697,0.9999999,0.83848697
0.47968328,0.83848697,0.83848697,0.83848697,0.51716864,0.83848697,0.8321445,0.83848697,0.83848697,0.83848697,0.53349805,0.7922888,0.49135584,0.8226532,0.8321445,0.7922888,0.72170156,0.4572452,0.8321445,0.8321445,0.83848697,0.83848697,0.83848697,0.83848697,0.83848697,0.8321445,0.50844926,0.50228655,0.8321445,0.8321445,0.8321445,0.83848697,0.83848697,0.83848697,0.47113454,0.72672904,0.72672904,0.72672904,1.0000002,0.83848697,1.0000002
